gender,grad_year,course,Poly_Uni_attended,Uni_Poly_Type,qualification,NYSC_complete,course_helped_emp,course_helped_skills,best_sector,job_search_mode,job1_reason,job1_x_qual,job1_level,job1_via_NYSC,car_rent_from_job1
Male,2014,Psychology,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Spoken communication skills",Media,Internship,To see if I would like the type of work it involved,Yes: the qualification was a formal requirement,Entry level,No,No
Female,2013,Economics,"Bells University of Technology, Otta",Private,Bachelor's degree,Yes,Disagree,"Ability to work with others, Written communication skills",Consulting,Employer's website,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2017,Mass Communication (Communication and Language Arts),"Bowen University, Iwo",Private,Master's degree,Yes,,,,,,,,No,
Female,2013,Statistics,Ekiti State University,State,Bachelor's degree,Yes,Agree,Critical thinking skills,Advertising / Marketing / Comms,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: while the qualification was not a formal requirement it did give me an advantage,Managerial,No,No
Male,2015,Electrical & Electronic Engineering,University of Benin,Federal,Bachelor's degree,No,Agree,"Ability to work with others, Knowledge of the skill(s) you are studying",NGO,Social media/professional networking sites,It was in the right location,No: the qualification was not required,Entry level,No,No
Male,2013,Economics,"Bowen University, Iwo",Private,Higher National Diploma (HND),Yes,Strongly Disagree,"Critical thinking skills, Ability to work with others",Creatives/Art/Design,"University/polytechnic (e.g. Careers Service, lecturer, website)",It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2015,Accountancy,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Agree,"Ability to solve complex problems, Knowledge of the skill(s) you are studying",Banking / Financial Services,Internship,,,,No,No
Female,2017,Industrial Relations and Personnel Management,Covenant University Ota,Private,Bachelor's degree,Ongoing,Agree,Ability to work with others,FMCG,"Personal contacts, including family and friends",To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,Yes,No
Female,2015,Biochemistry,University of Lagos,Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Economics,University of Ibadan,Federal,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Written communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",In order to earn a living/pay off debts,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2016,Banking and Finance,Covenant University Ota,Private,Bachelor's degree,Yes,Agree,Knowledge of the skill(s) you are studying,Banking / Financial Services,"Personal contacts, including family and friends",It fitted into my career plan/it was exactly the type of work I wanted,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,Yes,No
Male,2017,Petroleum and Gas Engineering,University of Port-Harcourt,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2016,Geography,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Ongoing,Disagree,"Critical thinking skills, Ability to solve complex problems, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,Recruitment agency/Online job site,To gain and broaden my experience in order to get the type of job I really want,Don't know,Clerical and administrative,No,No
Male,2017,Computer Science,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,No,
Female,2014,Quantity Surveying,University of Lagos,Federal,Bachelor's degree,Yes,Strongly Disagree,Ability to solve complex problems,Advertising / Marketing / Comms,"Personal contacts, including family and friends",,,,No,No
Male,2015,Economics,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,Yes,Strongly Agree,Knowledge of the skill(s) you are studying,Consulting,"Personal contacts, including family and friends",It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Entry level,No,Yes
Male,2015,Petroleum and Gas Engineering,University of Port-Harcourt,Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2017,Economics,"Babcock University,Ilishan-Remo",Private,Bachelor's degree,Ongoing,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Ecommerce/Internet,Social media/professional networking sites,To gain and broaden my experience in order to get the type of job I really want,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2016,Fisheries,Ekiti State University,State,Bachelor's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2017,Computer Science,Covenant University Ota,Private,Bachelor's degree,Ongoing,Disagree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Technology,Social media/professional networking sites,,,,No,No
Male,2016,Mechanical Engineering,"Yaba College of Technology, Yaba, Lagos State.",Federal,Ordinary National Diploma (OND),No,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,Recruitment agency/Online job site,It was the only job offer I received,No: the qualification was not required,Entry level,No,No
Male,2015,Computer Science,"University of Abuja, Gwagwalada",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Geophysics,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,No,,,,,,,,No,
Female,2015,Psychology,Covenant University Ota,Private,Bachelor's degree,Yes,Agree,Ability to work with others,Education,"Personal contacts, including family and friends",,,,No,No
Male,2014,Architecture,Covenant University Ota,Private,Master's degree,No,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Knowledge of the skill(s) you are studying",Creatives/Art/Design,Recruitment agency/Online job site,In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,Yes
Female,2017,Economics,"Bowen University, Iwo",Private,Bachelor's degree,Ongoing,Agree,"Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Education,"University/polytechnic (e.g. Careers Service, lecturer, website)",To see if I would like the type of work it involved,Don't know,Entry level,Yes,No
Female,2017,Electrical & Electronic Engineering,Covenant University Ota,Private,Bachelor's degree,Ongoing,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Engineering,"Personal contacts, including family and friends",To see if I would like the type of work it involved,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2016,Philosophy,"Obafemi Awolowo University,Ile-Ife",Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to solve complex problems",Technology,"Personal contacts, including family and friends",,,,No,No
Male,2015,Civil Engineering,"Federal University of Technology, Akure",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Agricultural and Bioresources Engineering,"Kwara State Polytechnic, Ilorin, Kwara State.",State,Higher National Diploma (HND),Yes,,,,,,,,No,
Female,2015,Statistics,Ekiti State University,State,Bachelor's degree,Yes,Agree,Critical thinking skills,Advertising / Marketing / Comms,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,Yes: the qualification was a formal requirement,Clerical and administrative,No,No
Male,2016,Hospitality and Tourism,University of Port-Harcourt,Federal,Bachelor's degree,Ongoing,Agree,"Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Hospitality/Leisure,Social media/professional networking sites,,,,Yes,No
Male,2013,Economics,Crawford University Igbesa,Private,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Mathematics,"Federal University of Technology, Minna.",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Chemical Engineering,"Lagos State University Ojo, Lagos.",State,Bachelor's degree,Yes,Strongly Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Manufacturing / Production,"Personal contacts, including family and friends",,,,No,No
Male,2016,Computer Science,"Federal University of Technology, Minna.",Federal,Bachelor's degree,No,Agree,"Critical thinking skills, Ability to work with others, Written communication skills, Spoken communication skills, Knowledge of the skill(s) you are studying",Technology,Recruitment agency/Online job site,In order to earn a living/pay off debts,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2015,Geology,University of Ibadan,Federal,Bachelor's degree,Yes,Strongly Disagree,Ability to work with others,Oil & Gas / Mining,"Personal contacts, including family and friends",,,,No,No
Female,2017,Mass Communication (Communication and Language Arts),"Heritage Polytechnic, Ikot Udota, Eket, Akwa Ibom State",Private,Higher National Diploma (HND),No,,,,,,,,No,
Female,2017,Microbiology,University of Port-Harcourt,Federal,Bachelor's degree,No,,,,,,,,No,
Male,2016,Electrical & Electronic Engineering,"Federal University, Oye-Ekiti, Ekiti State",Federal,Bachelor's degree,Yes,,,,,,,,No,
Female,2015,Computer Engineering,University of Benin,Federal,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Knowledge of the skill(s) you are studying",Engineering,Internship,It was an opportunity to progress in the organisation,Yes: while the qualification was not a formal requirement it did give me an advantage,Clerical and administrative,No,No
Male,2015,Philosophy,"University of Nigeria, Nsukka",Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2013,Computer Science,Rivers State University of Science & Technology,State,Bachelor's degree,Yes,,,,,,,,No,
Female,2015,Forest Resources Management (Forestry),University of Ibadan,Federal,Bachelor's degree,Yes,,,,,,,,No,
Male,2015,Civil Engineering,"Ambrose Alli University, Ekpoma,",State,Bachelor's degree,Yes,,,,,,,,No,
Male,2016,Biochemistry,University of Lagos,Federal,Bachelor's degree,No,Strongly Agree,"Ability to solve complex problems, Ability to work with others, Spoken communication skills, Knowledge of the skill(s) you are studying",Oil & Gas / Mining,"Personal contacts, including family and friends",,,,No,No
Male,2013,Biochemistry,"Ladoke Akintola University of Technology, Ogbomoso",State,Bachelor's degree,Yes,Agree,Ability to solve complex problems,Media,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,Yes: while the qualification was not a formal requirement it did give me an advantage,Entry level,No,No
Male,2016,Building,University of Lagos,Federal,Bachelor's degree,Ongoing,Agree,Knowledge of the skill(s) you are studying,Construction / Real Estate,"Personal contacts, including family and friends",,,,Yes,No
Female,2016,Social Work,"Federal University of Technology, Owerri",Federal,Bachelor's degree,No,Strongly Disagree,"Ability to work with others, Written communication skills, Spoken communication skills",NGO,Social media/professional networking sites,It fitted into my career plan/it was exactly the type of work I wanted,No: the qualification was not required,Entry level,No,No
Female,2017,Accountancy,University of Lagos,Federal,Bachelor's degree,No,,,,,,,,Yes,
Female,2016,Microbiology,"Caleb University, Lagos",Private,Bachelor's degree,No,Agree,"Ability to work with others, Spoken communication skills",Others,"University/polytechnic (e.g. Careers Service, lecturer, website)",,,,No,No
Male,2014,Business Administration,"Adekunle Ajasin University, Akungba.",State,Bachelor's degree,Yes,Agree,"Critical thinking skills, Ability to solve complex problems, Ability to work with others, Written communication skills, Spoken communication skills",Government / Defence,Media (e.g. newspaper/magazine advertisement),It was the only job offer I received,Yes: the qualification was a formal requirement,Entry level,No,No
Male,2013,History and International Studies,University of Ilorin,Federal,Master's degree,Yes,Disagree,"Critical thinking skills, Written communication skills",NGO,"Personal contacts, including family and friends",,,,No,No
Male,2013,Physics and Astronomy,"Federal University of Technology, Akure",Federal,Master's degree,Yes,Strongly Disagree,"Critical thinking skills, Ability to solve complex problems, Written communication skills, Knowledge of the skill(s) you are studying",Consulting,"Personal contacts, including family and friends",In order to earn a living/pay off debts,No: the qualification was not required,Entry level,No,No
Male,2013,Banking and Finance,"Federal Polytechnic Kaura Namoda, Zamfara State.",Federal,Higher National Diploma (HND),Yes,Agree,Ability to solve complex problems,NGO,"Personal contacts, including family and friends",,,,No,No
